
Total Lagrangian Method
Bathe Problem
C=E Material Model
Total Stress Method
  H         Area           E           F           P
  2.00   4.00 13460000.00 100000000.00 25000000.00
  iter   u    eta   adef   pk2    tau    res    stiff
  1.00   1.30   1.30   4.00 11593002.46 11593002.46 100000000.00 76920000.00
  2.00   1.16  -0.14   2.42 10086892.50 27462430.32 -15909916.39 114842908.88
  3.00   1.16  -0.00   2.53 10035552.53 25076791.69 -518940.33 107450997.07
  4.00   1.16  -0.00   2.53 10035493.46 25000088.09 -596.19 107204231.41
  5.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
  6.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
  7.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
  8.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
  9.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
 10.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
 11.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
 12.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
 13.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
 14.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
 15.00   1.16  -0.00   2.53 10035493.46 25000000.00  -0.00 107203947.69
